regime,regime_label,library,transform,status,supported,early_stopped,num_successful_runs,median_throughput,mean_throughput,std_throughput,cv_throughput,ci95,gpu_peak_allocated_mb,gpu_peak_reserved_mb,reason,source_files
image9ch_micro_cpu,9ch CPU micro,albumentationsx,Affine,ok,True,False,1,229.81417831446527,229.81417831446527,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,AutoContrast,ok,True,False,1,316.5507321953208,316.5507321953208,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,Blur,ok,True,False,1,1385.0581259033272,1385.0581259033272,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,Brightness,ok,True,False,1,2477.1189666719088,2477.1189666719088,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,ChannelDropout,ok,True,False,1,3335.546117949947,3335.546117949947,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,ChannelShuffle,ok,True,False,1,1447.8559850315548,1447.8559850315548,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,Contrast,ok,True,False,1,2482.2812530107367,2482.2812530107367,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,CornerIllumination,ok,True,False,1,195.80706863347385,195.80706863347385,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,Elastic,ok,True,False,1,120.9881020401481,120.9881020401481,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,Erasing,ok,True,False,1,3658.7166723087757,3658.7166723087757,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,GaussianBlur,ok,True,False,1,747.5149186093337,747.5149186093337,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,GaussianIllumination,ok,True,False,1,189.35746097015846,189.35746097015846,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,GaussianNoise,ok,True,False,1,75.81743382835813,75.81743382835813,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,Grayscale,ok,True,False,1,177.6546256015788,177.6546256015788,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
image9ch_micro_cpu,9ch CPU micro,albumentationsx,HorizontalFlip,ok,True,False,1,837.3217771116289,837.3217771116289,0.0,0.0,0.0,,,,results/published/paper-9ch-micro-c4-standard-16-2026-05-14/albumentationsx_micro_results.json
